#word	valence	arousal	dominance	w
gymnast	6.35	5.02	5.31	0
habit	4.11	3.95	4.3	0
hairdryer	4.84	3.71	5.57	0
hairpin	5.26	3.27	5.05	0
hamburger	6.27	4.55	5.32	0
hammer	4.88	4.58	4.75	0
hand	5.95	4.4	5.35	0
handicap	3.29	3.81	4	0
handsome	7.93	5.95	5.19	0
haphazard	4.02	4.07	4.29	0
happy	8.21	6.49	6.63	0
hard	5.22	5.12	5.59	0
hardship	2.45	4.76	4.22	0
hat	5.46	4.1	5.39	0
hate	2.12	6.95	5.05	0
hatred	1.98	6.66	4.3	0
hawk	5.88	4.39	5.5	0
hay	5.24	3.95	5.37	0
headache	2.02	5.07	3.6	0
headlight	5.24	3.81	4.88	0
heal	7.09	4.77	5.79	0
health	6.81	5.13	5.83	0
heart	7.39	6.34	5.49	0
heaven	7.3	5.61	6.15	0
hell	2.24	5.38	3.24	0
helpless	2.2	5.34	2.27	0
heroin	4.36	5.11	4.8	0
hide	4.32	5.28	3.4	0
highway	5.92	5.16	5.66	0
hinder	3.81	4.12	4.21	0
history	5.24	3.93	4.83	0
hit	4.33	5.73	4.88	0
holiday	7.55	6.59	6.3	0
home	7.91	4.21	5.9	0
honest	7.7	5.32	6.24	0
honey	6.73	4.51	5.44	0
honor	7.66	5.9	6.7	0
hooker	3.34	4.93	4.73	0
hope	7.05	5.44	5.52	0
hopeful	7.1	5.78	5.41	0
horror	2.76	7.21	4.63	0
horse	5.89	3.89	4.67	0
hospital	5.04	5.98	4.69	0
hostage	2.2	6.76	2.83	0
hostile	2.73	6.44	4.85	0
hotel	6	4.8	5.12	0
house	7.26	4.56	6.08	0
hug	8	5.35	5.79	0
humane	6.89	4.5	5.7	0
humble	5.86	3.74	4.76	0
humiliate	2.24	6.14	2.6	0
humor	8.56	5.5	6.08	0
hungry	3.58	5.13	4.68	0
hurricane	3.34	6.83	3.07	0
hurt	1.9	5.85	3.33	0
hydrant	5.02	3.71	5.53	0
icebox	4.95	4.17	5.05	0
idea	7	5.86	6.26	0
identity	6.57	4.95	6.4	0
idiot	3.16	4.21	3.18	0
idol	6.12	4.95	5.37	0
ignorance	3.07	4.39	4.41	0
illness	2.48	4.71	3.21	0
imagine	7.32	5.98	7.07	0
immature	3.39	4.15	4.85	0
immoral	3.5	4.98	4.66	0
impair	3.18	4.04	4.09	0
impotent	2.81	4.57	3.43	0
impressed	7.33	5.42	5.51	0
improve	7.65	5.69	6.08	0
incentive	7	5.69	5.93	0
indifferent	4.61	3.18	4.84	0
industry	5.3	4.47	4.91	0
infant	6.95	5.05	5.67	0
infatuation	6.73	7.02	4.9	0
infection	1.66	5.03	3.61	0
inferior	3.07	3.83	2.78	0
inhabitant	5.05	3.95	5.37	0
injury	2.49	5.69	3.57	0
ink	5.05	3.84	4.61	0
innocent	6.51	4.21	5.28	0
insane	2.85	5.83	4.12	0
insect	4.07	4.07	4.56	0
insecure	2.36	5.56	2.33	0
insolent	4.35	5.38	4.5	0
inspire	6.97	5	6.34	0
inspired	7.15	6.02	6.67	0
insult	2.29	6	3.62	0
intellect	6.82	4.75	6.3	0
intercourse	7.36	7	6.4	0
interest	6.97	5.66	5.88	0
intimate	7.61	6.98	5.86	0
intruder	2.77	6.86	4	0
invader	3.05	5.5	4	0
invest	5.93	5.12	5.88	0
iron	4.9	3.76	5.1	0
irritate	3.11	5.76	5.03	0
item	5.26	3.24	5.26	0
jail	1.95	5.49	3.81	0
jealousy	2.51	6.36	3.8	0
jelly	5.66	3.7	4.53	0
jewel	7	5.38	5.59	0
joke	8.1	6.74	6.15	0
jolly	7.41	5.57	6.39	0
journal	5.14	4.05	5.26	0
joy	8.6	7.22	6.28	0
joyful	8.22	5.98	6.6	0
jug	5.24	3.88	5.05	0
justice	7.78	5.47	6.47	0
kerchief	5.11	3.43	5.25	0
kerosene	4.8	4.34	4.63	0
ketchup	5.6	4.09	5.29	0
kettle	5.22	3.22	5	0
key	5.68	3.7	4.98	0
kick	4.31	4.9	5.5	0
kids	6.91	5.27	5.07	0
killer	1.89	7.86	4.54	0
kind	7.59	4.46	5.95	0
kindness	7.82	4.3	5.67	0
king	7.26	5.51	7.38	0
kiss	8.26	7.32	6.93	0
kitten	6.86	5.08	6.86	0
knife	3.62	5.8	4.12	0
knot	4.64	4.07	4.67	0
knowledge	7.58	5.92	6.78	0
lake	6.82	3.95	4.9	0
lamb	5.89	3.36	4.91	0
lamp	5.41	3.8	5.27	0
lantern	5.57	4.05	5.07	0
laughter	8.45	6.75	6.45	0
lavish	6.21	4.93	5.64	0
lawn	5.24	4	5.37	0
lawsuit	3.37	4.93	3.92	0
lazy	4.38	2.65	4.07	0
